ID,UUID,Versao_Form,Status,Data_Inicio,Hora_Inicio,Data_Fim,Hora_Fim,Duracao_min,Municipio,Cod_IBGE,Comunidade,Cod_Com,Polo,Bloco,Supervisor,Pesquisador,Mobilizador,Latitude,Longitude,Precisao_GPS_m,Foto,Consentimento,Diario_Campo,Link_Evidencia,Upload_Data,Area,Genero,Idade,Escolaridade,Renda,Tempo_Residencia,Q1_QV,Q2_Saude,Q3_Educ,Q4_RelEmpresa,Q5_Prioridade,Q6_Preocupacao,Obs_Aberta
1,UUID-1001,v2.4,Completa,2026-04-18,11:14,2026-04-14,09:43,42,Santa Aurora,310002,Lagoa,SA02,Polo 1,B5,João,Ana,Lia,-18.9063047601384,-43.7673391066093,24,Sim,Sim,Sim,https://repo/evid/1.jpg,2026-04-10,Urbana,M,19,Fundamental,3200,38,4,1,3,4,Água,Saúde,
2,UUID-1002,v2.4,Completa,2026-04-20,09:05,2026-04-22,09:22,30,Vale Verde,310003,Boa Vista,VV03,Polo 3,B1,Paula,Pedro,Marcos,-18.8751738371468,-43.0777046279718,7,Sim,Sim,Sim,https://repo/evid/2.jpg,2026-04-27,Rural,M,31,Superior,1800,46,2,1,3,3,Saúde,Água,
3,UUID-1003,v2.4,Completa,2026-04-18,15:40,2026-04-21,10:23,30,Santa Aurora,310002,Lagoa,SA02,Polo 2,B6,João,Tiago,Marcos,-18.3519646147534,-43.390868994333,10,Sim,Sim,Sim,https://repo/evid/3.jpg,2026-04-27,Urbana,F,42,Médio,3200,18,3,3,2,2,Saúde,Saúde,
4,UUID-1004,v2.4,Completa,2026-04-12,11:58,2026-04-28,13:13,39,São Miguel do Norte,310007,São José,SM07,Polo 4,B6,João,Carlos,Bruno,-18.8603696804745,-43.2550110179084,22,Sim,Sim,Sim,https://repo/evid/4.jpg,2026-04-18,Rural,M,35,Médio,1800,9,5,1,2,1,Emprego,Água,
5,UUID-1005,v2.4,Completa,2026-04-12,14:24,2026-04-24,16:16,8,São Miguel do Norte,310007,São José,SM07,Polo 1,B6,Paula,Júlia,Marcos,-18.659824526969,-43.7064998713526,10,Sim,Sim,Sim,https://repo/evid/5.jpg,2026-04-24,Urbana,M,56,Superior,1800,33,2,3,3,2,Água,Água,
6,UUID-1006,v2.4,Completa,2026-04-20,15:01,2026-04-13,13:56,27,Rio Claro,310001,Centro,RC01,Polo 2,B1,Marina,Rafaela,Lia,-18.9143465479321,-43.5140095366834,7,Sim,Sim,Sim,https://repo/evid/6.jpg,2026-04-27,Urbana,F,56,Superior,3200,36,3,3,5,2,Emprego,Saúde,
7,UUID-1007,v2.4,Completa,2026-04-21,15:57,2026-04-26,15:07,23,São Miguel do Norte,310007,São José,SM07,Polo 2,B1,João,Ana,Marcos,-18.4460784775755,-43.4115598855897,5,Sim,Sim,Sim,https://repo/evid/7.jpg,2026-04-12,Urbana,F,60,Fundamental,1200,56,4,1,3,3,Educação,Água,
8,UUID-1008,v2.4,Completa,2026-04-28,15:15,2026-04-25,14:12,14,Vale Verde,310003,Boa Vista,VV03,Polo 1,B6,João,Júlia,Bruno,-18.5888977239503,-43.1361632516304,6,Sim,Sim,Sim,https://repo/evid/8.jpg,2026-04-13,Urbana,M,64,Superior,2500,52,2,2,3,2,Educação,Água,
9,UUID-1009,v2.4,Completa,2026-04-18,15:15,2026-04-12,15:51,14,São Miguel do Norte,310007,São José,SM07,Polo 1,B6,Paula,Ana,Lia,-18.0736330169919,-43.1513042655857,10,Sim,Sim,Sim,https://repo/evid/9.jpg,2026-04-23,Rural,M,29,Fundamental,3200,58,2,2,5,1,Educação,Saúde,
10,UUID-1010,v2.4,Completa,2026-04-23,16:42,2026-04-25,10:12,26,Pedra Branca,310008,Pedreira,PB08,Polo 2,B1,Paula,Tiago,Marcos,-18.9390424285235,-43.6863951902303,6,Sim,Sim,Sim,https://repo/evid/10.jpg,2026-04-28,Rural,F,36,Fundamental,4500,6,3,1,2,2,Educação,Emprego,
11,UUID-1011,v2.4,Completa,2026-04-11,09:26,2026-04-28,17:33,28,Serra Azul,310004,Barreiro,SZ04,Polo 3,B2,Paula,Tiago,Bruno,-18.7613140473842,-43.6042141532087,25,Sim,Sim,Sim,https://repo/evid/11.jpg,2026-04-19,Rural,M,55,Fundamental,1200,30,2,1,3,5,Água,Água,
12,UUID-1012,v2.4,Completa,2026-04-12,11:23,2026-04-19,10:28,42,Lagoa Nova,310006,Córrego,LN06,Polo 3,B5,Paula,Rafaela,Lia,-18.3321367962874,-43.4453977175103,8,Sim,Sim,Sim,https://repo/evid/12.jpg,2026-04-14,Rural,F,74,Fundamental,4500,10,4,3,3,3,Emprego,Saúde,
13,UUID-1013,v2.4,Completa,2026-04-11,09:40,2026-04-23,12:02,8,Pedra Branca,310008,Pedreira,PB08,Polo 3,B2,Paula,Júlia,Lia,-18.2587690916521,-43.4483195788736,18,Sim,Sim,Sim,https://repo/evid/13.jpg,2026-04-27,Urbana,F,34,Fundamental,1800,35,2,3,3,4,Emprego,Emprego,
14,UUID-1014,v2.4,Completa,2026-04-11,13:13,2026-04-17,09:22,34,Rio claro,310005,Santa Rita,BE05,Polo 2,B2,Marina,Carlos,Bruno,-18.9752136381018,-43.2634355282449,15,Sim,Sim,Sim,https://repo/evid/14.jpg,2026-04-23,Urbana,M,41,Fundamental,1200,25,2,4,3,2,Educação,Saúde,
15,UUID-1015,v2.4,Completa,2026-04-17,11:01,2026-04-16,14:21,25,RIO CLARO,310005,Santa Rita,BE05,Polo 1,B3,João,Tiago,Marcos,-18.6003216156399,-43.0188503128017,22,Sim,Sim,Sim,https://repo/evid/15.jpg,2026-04-20,Urbana,F,70,Médio,1800,38,4,1,2,5,Educação,Saúde,
16,UUID-1016,v2.4,Completa,2026-04-26,09:24,2026-04-28,11:16,10,Sta Aurora,310006,Córrego,LN06,Polo 4,B1,Paula,Rafaela,Marcos,-18.2805700008552,-43.2580499221605,11,Sim,Sim,Sim,https://repo/evid/16.jpg,2026-04-21,Rural,F,45,Superior,2500,40,4,1,4,5,Água,Transporte,
17,UUID-1017,v2.4,Completa,2026-04-19,16:08,2026-04-16,14:42,32,Lagoa Nova,310006,Córrego,LN06,Polo 2,B5,Paula,Júlia,Bruno,-18.4520627868643,-43.9995940603027,14,Sim,Sim,Sim,https://repo/evid/17.jpg,2026-04-16,Rural,M,43,Médio,3200,29,3,5,5,2,Saúde,Saúde,
18,UUID-1018,v2.4,Completa,2026-04-17,12:14,2026-04-16,10:01,10,Lagoa Nova,310006,Córrego,LN06,Polo 2,B4,Paula,Ana,Bruno,-18.5855589890023,-43.3702346192623,11,Sim,Sim,Sim,https://repo/evid/18.jpg,2026-04-22,Rural,M,23,Fundamental,1800,42,2,1,5,2,Emprego,Transporte,
19,UUID-1019,v2.4,Completa,2026-04-17,09:29,2026-04-14,15:42,41,Rio Claro,310001,Centro,RC01,Polo 3,B4,Paula,Tiago,Marcos,-18.5732592431413,-43.0931452695439,19,Sim,Sim,Sim,https://repo/evid/19.jpg,2026-04-15,Rural,M,53,Médio,1800,54,4,5,5,2,Água,Transporte,
20,UUID-1020,v2.4,Completa,2026-04-19,11:17,2026-04-20,13:57,42,Santa Aurora,310002,Lagoa,SA02,Polo 1,B2,Marina,Carlos,Bruno,-18.306050187701,-43.2935808583055,7,Sim,Sim,Sim,https://repo/evid/20.jpg,2026-04-23,Rural,M,63,Superior,3200,27,2,2,5,4,Saúde,Transporte,
21,UUID-1021,v2.4,Completa,2026-04-21,12:48,2026-04-22,14:34,42,Pedra Branca,310008,Pedreira,PB08,Polo 2,B4,Marina,Júlia,Bruno,-18.5143580062015,-43.6111427967539,17,Sim,Sim,Sim,https://repo/evid/21.jpg,2026-04-15,Rural,F,18,Superior,4500,2,5,5,2,1,Educação,Água,
22,UUID-1022,v2.4,Completa,2026-04-11,12:24,2026-04-20,11:29,28,Pedra Branca,310008,Pedreira,PB08,Polo 3,B4,João,Pedro,Bruno,-18.1650890850879,-43.529693163787,22,Sim,Sim,Sim,https://repo/evid/22.jpg,2026-04-11,Rural,F,29,Superior,1200,50,2,1,3,2,Saúde,Água,
23,UUID-1023,v2.4,Completa,2026-04-25,09:36,2026-04-16,15:44,24,Serra Azul,310004,Barreiro,SZ04,Polo 3,B2,Paula,Rafaela,Marcos,-18.281642771404,-43.2222081138246,10,Sim,Sim,Sim,https://repo/evid/23.jpg,2026-04-19,Urbana,F,26,Médio,4500,44,5,4,3,1,Emprego,Emprego,
