Cod_IBGE,Municipio_Padrao,Cod_Comunidade,Comunidade_Padrao,Polo,Area,Status,Data_Atualizacao
310001,Rio Claro,RC01,Centro,Polo 1,Urbana,Ativa,2026-03-15
310001,Rio Claro,RC02,Vila Nova,Polo 1,Urbana,Ativa,2026-03-15
310001,Rio Claro,RC03,Santa Luzia,Polo 1,Rural,Ativa,2026-03-15
310002,Santa Aurora,SA01,Centro,Polo 2,Urbana,Ativa,2026-03-15
310002,Santa Aurora,SA02,Lagoa,Polo 2,Rural,Ativa,2026-03-15
310002,Santa Aurora,SA03,Morro Alto,Polo 2,Rural,Ativa,2026-03-15
310003,Vale Verde,VV01,Centro,Polo 2,Urbana,Ativa,2026-03-15
310003,Vale Verde,VV03,Boa Vista,Polo 2,Rural,Ativa,2026-03-15
310004,Serra Azul,SZ01,Centro,Polo 3,Urbana,Ativa,2026-03-15
310004,Serra Azul,SZ04,Barreiro,Polo 3,Rural,Ativa,2026-03-15
310005,Boa Esperança,BE01,Centro,Polo 3,Urbana,Ativa,2026-03-15
310005,Boa Esperança,BE05,Santa Rita,Polo 3,Rural,Ativa,2026-03-15
310006,Lagoa Nova,LN01,Centro,Polo 4,Urbana,Ativa,2026-03-15
310006,Lagoa Nova,LN06,Córrego,Polo 4,Rural,Ativa,2026-03-15
310007,São Miguel do Norte,SM01,Centro,Polo 4,Urbana,Ativa,2026-03-15
310007,São Miguel do Norte,SM07,São José,Polo 4,Rural,Ativa,2026-03-15
310008,Pedra Branca,PB01,Centro,Polo 4,Urbana,Ativa,2026-03-15
310008,Pedra Branca,PB08,Pedreira,Polo 4,Rural,Ativa,2026-03-15
