ID_Entrevista,UUID,Pesquisador,Município,Comunidade,Termo_Consentimento,Arquivo_Termo,Foto_Entrevista,Arquivo_Foto,Diario_Campo,Arquivo_Diario,Data_Coleta,Data_Upload,Repositorio,Status_Validacao,Responsavel_QA,Observacoes
1,UUID-1001,Carlos,Santa Aurora,COM02,Sim,TC_0001.pdf,Sim,IMG_0001.jpg,Sim,DC_0001.pdf,2026-04-11,2026-04-11,Repositorio_DSP,Validado,João,
2,UUID-1002,Júlia,Vale Verde,COM03,Sim,TC_0002.pdf,Sim,IMG_0002.jpg,Sim,DC_0002.pdf,2026-04-12,2026-04-12,Repositorio_DSP,Validado,Paula,
3,UUID-1003,Pedro,Serra Azul,COM04,Sim,TC_0003.pdf,Sim,IMG_0003.jpg,Sim,DC_0003.pdf,2026-04-13,2026-04-13,Repositorio_DSP,Validado,Marina,
4,UUID-1004,Rafaela,Boa Esperança,COM05,Sim,TC_0004.pdf,Sim,IMG_0004.jpg,Sim,DC_0004.pdf,2026-04-14,2026-04-14,Repositorio_DSP,Validado,João,
5,UUID-1005,Tiago,Lagoa Nova,COM06,Sim,TC_0005.pdf,Sim,IMG_0005.jpg,Sim,DC_0005.pdf,2026-04-15,2026-04-15,Repositorio_DSP,Validado,Paula,
6,UUID-1006,Ana,São Miguel do Norte,COM07,Sim,TC_0006.pdf,Sim,IMG_0006.jpg,Sim,DC_0006.pdf,2026-04-16,2026-04-16,Repositorio_DSP,Validado,Marina,
7,UUID-1007,Carlos,Pedra Branca,COM08,Sim,TC_0007.pdf,Sim,IMG_0007.jpg,Sim,DC_0007.pdf,2026-04-17,2026-04-17,Repositorio_DSP,Validado,João,
8,UUID-1008,Júlia,Rio Claro,COM09,Sim,TC_0008.pdf,Sim,IMG_0008.jpg,Sim,DC_0008.pdf,2026-04-18,2026-04-18,Repositorio_DSP,Validado,Paula,
9,UUID-1009,Pedro,Santa Aurora,COM10,Sim,TC_0009.pdf,Sim,IMG_0009.jpg,Sim,DC_0009.pdf,2026-04-19,2026-04-19,Repositorio_DSP,Validado,Marina,
10,UUID-1010,Rafaela,Vale Verde,COM11,Sim,TC_0010.pdf,Sim,IMG_0010.jpg,Sim,DC_0010.pdf,2026-04-20,2026-04-20,Repositorio_DSP,Validado,João,
11,UUID-1011,Tiago,Serra Azul,COM12,Não,,Sim,IMG_0011.jpg,Sim,DC_0011.pdf,2026-04-21,2026-04-21,Repositorio_DSP,Validado,Paula,
12,UUID-1012,Ana,Boa Esperança,COM01,Sim,TC_0012.pdf,Sim,IMG_0012.jpg,Sim,DC_0012.pdf,2026-04-22,2026-04-22,Repositorio_DSP,Validado,Marina,
13,UUID-1013,Carlos,Lagoa Nova,COM02,Sim,TC_0013.pdf,Sim,IMG_0013.jpg,Sim,DC_0013.pdf,2026-04-23,2026-04-23,Repositorio_DSP,Validado,João,
14,UUID-1014,Júlia,São Miguel do Norte,COM03,Sim,TC_0014.pdf,Sim,IMG_0014.jpg,Sim,DC_0014.pdf,2026-04-24,2026-04-24,Repositorio_DSP,Validado,Paula,
15,UUID-1015,Pedro,Pedra Branca,COM04,Sim,TC_0015.pdf,Sim,IMG_0015.jpg,Sim,DC_0015.pdf,2026-04-25,2026-04-25,Repositorio_DSP,Validado,Marina,
16,UUID-1016,Rafaela,Rio Claro,COM05,Sim,TC_0016.pdf,Sim,IMG_0016.jpg,Sim,DC_0016.pdf,2026-04-26,2026-04-26,Repositorio_DSP,Validado,João,
17,UUID-1017,Tiago,Santa Aurora,COM06,Sim,TC_0017.pdf,Sim,,Sim,DC_0017.pdf,2026-04-27,2026-04-27,Repositorio_DSP,Validado,Paula,
18,UUID-1018,Ana,Vale Verde,COM07,Sim,TC_0018.pdf,Sim,IMG_0018.jpg,Sim,DC_0018.pdf,2026-04-28,2026-04-28,Repositorio_DSP,Validado,Marina,
19,UUID-1019,Carlos,Serra Azul,COM08,Sim,TC_0019.pdf,Sim,IMG_0019.jpg,Sim,DC_0019.pdf,2026-04-10,2026-04-10,Repositorio_DSP,Validado,João,
20,UUID-1020,Júlia,Boa Esperança,COM09,Sim,TC_0020.pdf,Não,IMG_0020.jpg,Sim,DC_0020.pdf,2026-04-11,2026-04-11,Repositorio_DSP,Validado,Paula,
